name,total_spent_USD
"EOG Resources",382873.3
Mosaic,345618.5900000001
IBM,326819.48000000004
"General Dynamics",300694.7899999999
"Republic Services",293861.14000000013
"Leucadia National",291047.25000000006
"Arrow Electronics",281018.36
Sysco,278575.63999999996
Supervalu,275288.30000000005
"Archer Daniels Midland",272672.83999999997
"Western Digital",269155.33999999997
"Pacific Life",255319.18000000002
"DISH Network",253635.7500000001
Fluor,251299.77
"United States Steel",244695.99
"Avis Budget Group",241711.24999999997
Centene,238962.47000000003
Aetna,237781.3
"United Technologies",235051.07
"Freddie Mac",234225.65
"Core-Mark Holding",231856.97999999992
KKR,217473.85000000003
Disney,205886.96999999994
"Wells Fargo",200174.66
"Bristol-Myers Squibb",188457.45999999996
"Goodyear Tire & Rubber",185463.76000000004
Jarden,179761.43000000002
Intel,167717.4
CHS,167271.8
"Best Buy",163887.39000000004
ADP,163579.18
Paccar,161294.61999999997
Citigroup,160051.04000000007
"Prudential Financial",157782.52
"Guardian Life Ins. Co. of America",157523.23999999996
"Travelers Cos.",156582.24
"Ford Motor",154811.42999999996
"Thermo Fisher Scientific",153705.1
"American Family Insurance Group",153015.86999999997
BlackRock,147599.56
Pfizer,144865.83000000002
"Emerson Electric",143471.26
TJX,140046.68000000002
"Sears Holdings",139015.09000000003
"Land O'Lakes",138323.58999999997
"Philip Morris International",137600.66999999998
"Marathon Petroleum",137227.88
"Charter Communications",135924.15
AutoNation,135822.85000000003
"Franklin Resources",135730.44000000003
Ecolab,135517.95
Synnex,134039.25
FirstEnergy,132868.82
"National Oilwell Varco",131318.63999999998
"Phillips 66",131173.40999999997
Monsanto,130964.10999999999
"Cisco Systems",130917.00000000001
Colgate-Palmolive,130893.51000000001
"Walgreens Boots Alliance",130153.59000000001
3M,127945.1
Cigna,127671.94000000002
"New York Life Insurance",126898.91000000002
"Southwest Airlines",125968.03999999996
Walmart,124014.87000000001
"BB&T Corp.",123847.32
Entergy,123503.17999999995
"CST Brands",122957.11000000004
Target,120523.91000000003
FedEx,119965.08000000002
"State Street Corp.",119173.59
"United Continental Holdings",118879.76000000001
"Duke Energy",118867.17000000001
Aflac,117862.77
"Altria Group",116165.15
Verizon,115376.17000000001
PPL,112176.02999999998
"State Farm Insurance Cos.",111810.54999999999
"Fidelity National Financial",110027.29000000001
"Western Refining",108579.84
"Lithia Motors",107142.63000000003
"Occidental Petroleum",105115.44
CDW,101553.15000000001
"SunTrust Banks",99125.76000000001
"D.R. Horton",98474.43999999999
"Abbott Laboratories",96819.92000000001
Allstate,96779.18000000001
Celgene,96593.53
"Farmers Insurance Exchange",96376.93999999999
Raytheon,94725.92000000001
"J.P. Morgan Chase",94684.25
eBay,94244.44000000003
"Bank of America Corp.",93217.79999999999
Kohl's,90105.16
"Hormel Foods",88946.13999999998
"Honeywell International",86362.69999999998
"PayPal Holdings",84768.93999999997
Kellogg,83419.37999999996
Amgen,82013.04999999999
Caterpillar,81700.32999999999
"PG&E Corp.",81697.27
"Anadarko Petroleum",80328.56
HollyFrontier,79488.37000000001
"Jabil Circuit",79246.93
"Lincoln National",77628.11
Nationwide,76630.92000000001
"Jacobs Engineering Group",75600.49
Broadcom,75130.49999999999
"Crown Holdings",75110.81
"Public Service Enterprise Group",73833.01
Progressive,72875.83999999998
"Stanley Black & Decker",72788.52
"Capital One Financial",72595.01000000001
"Time Warner",69479.05999999998
"Global Partners",67909.95999999999
"Cameron International",67459.64999999998
"Illinois Tool Works",67439.95000000001
Avnet,66812.23999999999
"Molina Healthcare",66381.57
AutoZone,65958.07
Boeing,65091.39
"Dominion Resources",64604
Merck,64536.16999999999
CarMax,64251.560000000005
"Precision Castparts",63743.89
"Cognizant Technology Solutions",62504.05
"Gilead Sciences",62148.869999999995
"Genuine Parts",61561.44
Visa,61255.49999999999
Nucor,60936.18000000001
Kroger,59946.4
"NRG Energy",59727.21
"International Paper",59086.759999999995
"Time Warner Cable",57130.53
"Eversource Energy",57059.76
"Discover Financial Services",57035.05
"Community Health Systems",56644.600000000006
"Toys 'R' Us",56179.21000000001
HP,56162.34
"Ameriprise Financial",55883.55000000001
"Kinder Morgan",54891.56
"Texas Instruments",54792.72
"United Natural Foods",54443.06
Qualcomm,54114.020000000004
"Valero Energy",52020.600000000006
AT&T,51647.76000000002
"Office Depot",51477.19
"HD Supply Holdings",50888.03
"Dollar General",49975.93
"Reynolds American",49930.289999999986
Freeport-McMoRan,49162.7
"Northrop Grumman",48578.159999999996
"Performance Food Group",47645.86
Anthem,47487.78
"Tyson Foods",47417.76
McDonald's,47258.13
USAA,46822.63
Chevron,46725.41
"PNC Financial Services Group",46208.37000000001
"First Data",45967.25
Lowe's,45873.469999999994
"American Express",45557.50999999999
CenturyLink,44535.04
"Chesapeake Energy",44534.950000000004
Alphabet,44407.22
Coca-Cola,43692.28999999999
Southern,42881.21
"Twenty-First Century Fox",42065.82000000001
BorgWarner,41242.060000000005
"Omnicom Group",41161.06000000001
"NGL Energy Partners",40607.06999999999
"Icahn Enterprises",38851.149999999994
AmerisourceBergen,38741.81
"Hilton Worldwide Holdings",38648.009999999995
"Sempra Energy",38569.85
GameStop,38469.65
"Thrivent Financial for Lutherans",38204.46000000001
"Estee Lauder",38198.82000000001
"Johnson Controls",37796.280000000006
"Ally Financial",37653.96
"Mondelez International",37465.37
"Edison International",37010.95
EMC,36982.12
"Murphy USA",36294.27
"R.R. Donnelley & Sons",36218.43
"Becton Dickinson",35961.76
CSX,35759.700000000004
"Henry Schein",35487.34
Cummins,34839.82
"News Corp.",34675.03
"DaVita HealthCare Partners",33982.78
Viacom,33673.85999999999
"Tenet Healthcare",33028.08
Whirlpool,32965.13
Humana,32937.92999999999
Halliburton,32645.38
"General Mills",32226.369999999995
"American Electric Power",32044.55
"Enterprise Products Partners",31971.72
Nordstrom,31273.019999999997
Oracle,31231.559999999998
Costco,30741.01
"Group 1 Automotive",30708.920000000002
PepsiCo,30095.72
"American Airlines Group",30083.179999999993
