name,total_sales
Walmart,124014.87000000001
"Exxon Mobil",2734.59
Apple,20767.15
"Berkshire Hathaway",7474.32
McKesson,15184.460000000001
"UnitedHealth Group",21937.08
"CVS Health",23667.51
"General Motors",9995.05
"Ford Motor",154811.42999999996
AT&T,51647.76000000002
"General Electric",25335.68
AmerisourceBergen,38741.81
Verizon,115376.17000000001
Chevron,46725.41
Costco,30741.01
"Fannie Mae",3780.53
Kroger,59946.4
Amazon.com,28678.06
"Walgreens Boots Alliance",130153.59000000001
HP,56162.34
"Cardinal Health",7210.91
"Express Scripts Holding",19090.449999999997
"J.P. Morgan Chase",94684.25
Boeing,65091.39
Microsoft,15454.01
"Bank of America Corp.",93217.79999999999
"Wells Fargo",200174.66
"Home Depot",10667.46
Citigroup,160051.04000000007
"Phillips 66",131173.40999999997
IBM,326819.48000000004
"Valero Energy",52020.600000000006
Anthem,47487.78
"Procter & Gamble",22961.03
"State Farm Insurance Cos.",111810.54999999999
Alphabet,44407.22
Comcast,12868.38
Target,120523.91000000003
"Johnson & Johnson",18242.739999999998
MetLife,7615.47
"Archer Daniels Midland",272672.83999999997
"Marathon Petroleum",137227.88
"Freddie Mac",234225.65
PepsiCo,30095.72
"United Technologies",235051.07
Aetna,237781.3
Lowe's,45873.469999999994
UPS,10678.769999999999
AIG,9980.929999999998
"Prudential Financial",157782.52
Intel,167717.4
Humana,32937.92999999999
Disney,205886.96999999994
"Cisco Systems",130917.00000000001
Pfizer,144865.83000000002
"Dow Chemical",8431.81
Sysco,278575.63999999996
FedEx,119965.08000000002
Caterpillar,81700.32999999999
"Lockheed Martin",2440.31
"New York Life Insurance",126898.91000000002
Coca-Cola,43692.28999999999
"HCA Holdings",10323.23
"Ingram Micro",25198.550000000003
"Energy Transfer Equity",19539.86
"Tyson Foods",47417.76
"American Airlines Group",30083.179999999993
"Delta Air Lines",859.64
Nationwide,76630.92000000001
"Johnson Controls",37796.280000000006
"Best Buy",163887.39000000004
Merck,64536.16999999999
"Liberty Mutual Insurance Group",16923.55
"Honeywell International",86362.69999999998
"Massachusetts Mutual Life Insurance",3927.05
Oracle,31231.559999999998
"Morgan Stanley",20277.570000000003
Cigna,127671.94000000002
"United Continental Holdings",118879.76000000001
Allstate,96779.18000000001
TIAA,7971.509999999999
"INTL FCStone",2372.11
CHS,167271.8
"American Express",45557.50999999999
"Gilead Sciences",62148.869999999995
"Publix Super Markets",8364.4
"General Dynamics",300694.7899999999
TJX,140046.68000000002
ConocoPhillips,15578.4
Nike,390.25
"World Fuel Services",10833.11
3M,127945.1
"Mondelez International",37465.37
Exelon,27558.300000000007
"Twenty-First Century Fox",42065.82000000001
Deere,1036.57
Tesoro,14482.599999999999
"Time Warner",69479.05999999998
"Northwestern Mutual",11862.92
DuPont,25526.3
Avnet,66812.23999999999
Macy's,9613.32
"Enterprise Products Partners",31971.72
"Travelers Cos.",156582.24
"Philip Morris International",137600.66999999998
"Rite Aid",5616.9
"Tech Data",19218.88
McDonald's,47258.13
Qualcomm,54114.020000000004
"Sears Holdings",139015.09000000003
"Capital One Financial",72595.01000000001
EMC,36982.12
