name,avg_standard,avg_gloss,avg_poster
Walmart,282.0000,279.6786,114.1786
"Exxon Mobil",527.0000,14.0000,0.0000
Apple,315.2000,48.3000,17.5000
"Berkshire Hathaway",1148.0000,0.0000,215.0000
McKesson,167.2000,154.0000,129.2000
"UnitedHealth Group",400.8889,39.5556,17.3333
"CVS Health",154.1667,259.3333,151.8333
"General Motors",401.5000,242.0000,145.5000
"Ford Motor",221.4324,236.3243,161.2162
AT&T,107.0465,42.3023,43.1163
"General Electric",102.1053,57.6842,48.2632
AmerisourceBergen,178.0000,262.2500,841.5000
Verizon,277.9259,220.3333,152.2222
Chevron,149.9231,220.4615,147.1538
Costco,142.5000,186.0000,371.8333
"Fannie Mae",270.5000,25.0000,43.5000
Kroger,283.8947,42.2105,175.1579
Amazon.com,195.3750,196.1250,140.5000
"Walgreens Boots Alliance",401.8000,25.4909,21.0000
HP,350.2222,71.2222,103.3333
"Cardinal Health",250.2500,39.0000,32.2500
"Express Scripts Holding",166.0000,409.2500,108.2500
"J.P. Morgan Chase",300.7674,60.8837,30.1860
Boeing,360.2667,222.3333,107.9333
Microsoft,88.4615,32.2308,62.3077
"Bank of America Corp.",257.6667,247.1667,92.0000
"Wells Fargo",183.8571,256.7959,153.2449
"Home Depot",245.3333,208.6667,94.6667
Citigroup,378.3276,62.8793,49.3448
"Phillips 66",212.4857,211.7143,135.6857
IBM,263.3000,250.8333,277.6333
"Valero Energy",151.1538,267.7692,152.9231
Anthem,362.8095,34.9048,23.3333
"Procter & Gamble",239.8571,184.2857,86.5714
"State Farm Insurance Cos.",1891.7778,235.2222,150.4444
Alphabet,317.4000,249.6000,121.6000
Comcast,294.0000,18.2857,28.8571
Target,247.2333,208.0000,150.9667
"Johnson & Johnson",238.5000,263.0000,172.5000
MetLife,498.6667,6.3333,0.3333
"Archer Daniels Midland",197.7121,244.6212,161.6515
"Marathon Petroleum",307.1129,62.0161,26.6452
"Freddie Mac",192.5968,235.4516,129.7097
PepsiCo,297.4286,300.2857,69.7143
"United Technologies",220.3448,242.1207,140.3448
Aetna,229.1961,211.7451,238.0196
Lowe's,375.4737,25.5263,43.0526
UPS,400.5000,323.0000,113.5000
AIG,300.5000,349.0000,108.0000
"Prudential Financial",193.2000,231.6000,153.4250
Intel,189.0714,242.7857,151.6429
Humana,383.7143,44.0714,13.2857
Disney,306.9825,246.3684,28.9298
"Cisco Systems",329.1639,23.3279,40.5082
Pfizer,264.2333,352.2000,107.4333
"Dow Chemical",181.0000,277.5000,152.0000
Sysco,191.0588,231.1765,173.8676
FedEx,330.4035,32.4386,26.2281
Caterpillar,302.0000,380.0625,92.6875
"Lockheed Martin",457.0000,4.0000,16.0000
"New York Life Insurance",325.6607,44.7143,37.6964
Coca-Cola,290.0000,24.8750,23.0417
"HCA Holdings",300.5000,348.0000,130.0000
"Ingram Micro",161.8889,172.0000,86.6667
"Energy Transfer Equity",222.1667,158.5000,118.3333
"Tyson Foods",112.3810,42.9524,30.3571
"American Airlines Group",369.6364,23.2727,88.1818
"Delta Air Lines",149.0000,9.0000,6.0000
Nationwide,259.2941,260.4706,155.5294
"Johnson Controls",296.2500,29.2500,23.7000
"Best Buy",128.8621,233.7414,53.1897
Merck,357.5556,36.7037,40.7778
"Liberty Mutual Insurance Group",294.0000,307.7500,56.5000
"Honeywell International",335.2188,49.6563,80.5625
"Massachusetts Mutual Life Insurance",113.0000,6.5000,5.1667
Oracle,254.5714,281.4286,133.4286
"Morgan Stanley",300.4444,76.5556,22.2222
Cigna,535.4000,45.6500,21.9500
"United Continental Holdings",282.9048,39.9841,21.6508
Allstate,269.0400,215.3600,112.7600
TIAA,279.7500,38.5000,38.0000
"INTL FCStone",330.0000,73.0000,22.0000
CHS,199.5217,264.5652,529.0000
"American Express",308.0870,43.1739,14.7826
"Gilead Sciences",343.0000,42.6667,33.3333
"Publix Super Markets",184.5000,268.5000,154.0000
"General Dynamics",205.8030,285.6667,171.1061
TJX,412.7800,36.1400,57.9400
ConocoPhillips,430.8333,30.1667,27.1667
Nike,0.0000,25.0000,25.0000
"World Fuel Services",208.0000,206.7500,15.0000
3M,313.3929,279.7500,112.1071
"Mondelez International",334.6667,27.2222,281.8889
Exelon,104.3913,45.1739,41.7391
"Twenty-First Century Fox",95.4444,54.4815,82.9630
Deere,102.0000,39.0000,29.0000
Tesoro,177.0000,195.0000,157.2500
"Time Warner",254.3333,246.8889,91.3333
"Northwestern Mutual",277.8333,22.5000,52.0000
DuPont,310.0000,36.6154,17.5385
Avnet,249.3333,310.4000,109.0000
Macy's,372.0000,50.0000,21.2500
"Enterprise Products Partners",192.4286,295.2857,171.8571
"Travelers Cos.",526.1034,268.1724,94.2759
"Philip Morris International",299.1077,42.6000,37.6000
"Rite Aid",326.0000,22.6667,9.3333
"Tech Data",383.2222,21.0000,8.1111
McDonald's,190.3846,249.8462,100.2308
Qualcomm,335.6250,19.2083,53.7083
"Sears Holdings",378.3333,201.4333,152.3667
"Capital One Financial",243.6316,269.5789,72.1579
EMC,265.2222,267.0000,96.7778
USAA,195.1111,311.8889,233.1111
"Duke Energy",222.3548,224.5806,128.4194
"Time Warner Cable",267.5833,331.3333,116.2500
Halliburton,288.5000,387.5000,135.3333
"Northrop Grumman",180.7500,232.4167,173.0833
"Arrow Electronics",190.7761,263.3134,156.4179
Raytheon,235.0455,247.2273,157.7727
"Plains GP Holdings",402.2000,14.6000,23.4000
"US Foods Holding",187.7143,320.7143,65.1429
AbbVie,238.3333,278.0000,58.6667
Centene,206.1311,228.6721,144.8361
"Community Health Systems",409.3636,294.4545,111.0000
Alcoa,311.4545,10.3636,21.6364
"International Paper",270.1429,273.8571,101.1429
"Emerson Electric",191.3421,235.1842,130.4474
"Union Pacific",367.5000,35.2000,50.9000
Amgen,234.1500,251.8000,128.8500
"U.S. Bancorp",439.1667,247.6667,48.5000
Staples,348.0000,24.8571,39.7143
Danaher,177.5000,261.0000,151.0000
Whirlpool,272.8667,46.0000,60.5333
Aflac,450.1622,30.8378,87.2162
AutoNation,336.2143,45.4464,50.1607
Progressive,360.5484,33.5806,36.9677
"Abbott Laboratories",201.1000,196.7000,92.4333
"Dollar General",406.1500,30.4000,30.1000
"Tenet Healthcare",312.2500,244.2500,91.2500
"Eli Lilly",299.5000,315.5000,100.0000
"Southwest Airlines",387.2941,43.4510,26.0980
"Penske Automotive Group",198.6667,257.1667,184.3333
ManpowerGroup,441.6667,7.0000,22.3333
Kohl's,1878.2857,285.7143,167.4286
Starbucks,164.0000,313.5000,526.0000
Paccar,113.1304,247.1739,134.3043
Cummins,207.1000,185.7000,130.5000
"Altria Group",381.0980,22.4902,25.5686
Xerox,266.7500,19.0000,88.2500
Kimberly-Clark,330.7143,16.7857,37.7143
"Hartford Financial Services Group",342.6000,25.3000,15.6000
"Kraft Heinz",304.4615,22.0769,36.6154
Lear,113.7500,41.3000,38.0500
Fluor,190.4923,231.1846,145.8154
AECOM,363.7778,13.8889,16.6667
Facebook,503.0000,320.7500,119.2500
"Jabil Circuit",181.6818,208.4545,139.6818
CenturyLink,298.0000,391.3333,370.0000
Supervalu,198.1618,249.3088,146.8235
"General Mills",423.1538,36.4615,11.6154
Southern,347.5000,27.7500,24.9000
"NextEra Energy",101.2000,27.4000,43.6000
"Thermo Fisher Scientific",395.2712,41.1356,39.9831
"American Electric Power",295.7059,23.4118,28.8235
"PG&E Corp.",264.4375,420.3750,78.5625
"NGL Energy Partners",204.1667,217.7500,90.4167
"Bristol-Myers Squibb",270.8372,270.6047,123.6977
"Goodyear Tire & Rubber",171.4390,329.1951,148.0732
Nucor,347.6897,17.2759,29.1724
"PNC Financial Services Group",92.9130,57.4783,137.3043
"Health Net",376.0833,41.8333,14.9167
"Micron Technology",145.0000,44.5000,20.0000
Colgate-Palmolive,329.8333,44.6167,24.8167
Freeport-McMoRan,173.3333,282.1667,137.7500
"ConAgra Foods",176.4000,241.2000,140.6000
Gap,131.2000,211.8000,137.6000
"Baker Hughes",224.0000,194.5000,81.3333
"Bank of New York Mellon Corp.",370.0000,24.0000,16.0000
"Dollar Tree",212.2500,180.7500,17.2500
"Whole Foods Market",392.1111,24.3333,13.5556
"PPG Industries",254.8333,193.5000,115.6667
"Genuine Parts",328.7500,351.0833,105.9167
"Icahn Enterprises",247.7500,144.3333,113.3333
"Performance Food Group",328.8571,33.9048,46.0476
"Omnicom Group",324.3000,28.2000,28.1500
"DISH Network",352.8500,37.2333,269.4167
FirstEnergy,322.1148,38.4098,34.8689
Monsanto,353.6140,42.7193,26.2456
AES,254.6667,304.0000,98.3333
CarMax,221.8235,193.8235,150.3529
"National Oilwell Varco",168.8519,237.4444,276.1852
"NRG Energy",191.8125,236.3750,123.8125
"Western Digital",192.7846,239.8308,170.2615
"Marriott International",395.0000,347.5000,100.5000
"Office Depot",430.5789,31.1579,40.3158
Nordstrom,226.3750,221.6250,137.8750
"Kinder Morgan",364.1667,36.5000,24.2083
Aramark,120.2500,126.8750,143.0000
"DaVita HealthCare Partners",109.3333,40.3333,128.1111
"Molina Healthcare",360.7222,219.8889,29.6667
"WellCare Health Plans",316.0000,312.5000,117.5000
CBS,297.0000,32.0000,853.0000
Visa,237.2000,250.6667,125.9333
"Lincoln National",190.8421,228.0526,175.5263
Ecolab,353.2830,74.9245,28.6792
Kellogg,357.3429,30.4286,45.8571
"C.H. Robinson Worldwide",168.0000,256.0000,120.0000
Textron,388.6364,33.1818,25.4545
Loews,498.0000,0.0000,10.0000
"Illinois Tool Works",357.9091,242.5455,311.3636
Synnex,304.0968,271.8710,94.8387
Viacom,404.7857,31.7857,18.1429
HollyFrontier,205.4211,232.2105,174.7895
"Land O'Lakes",348.8103,25.4828,55.8448
"Devon Energy",310.5000,304.0000,116.0000
"PBF Energy",122.6250,19.9375,47.0000
"Yum Brands",280.7333,38.6667,24.1333
"Texas Instruments",338.6087,21.9130,65.0870
CDW,183.8519,227.2222,140.6296
"Waste Management",570.0000,281.5000,10.0000
"Marsh & McLennan",174.0000,253.2500,160.0000
"Chesapeake Energy",271.8000,290.9000,113.1000
Parker-Hannifin,104.0909,77.0909,41.0000
"Occidental Petroleum",273.4583,294.7917,99.4167
"Guardian Life Ins. Co. of America",206.0513,227.6923,160.7692
"Farmers Insurance Exchange",325.7609,39.9783,20.9565
"J.C. Penney",94.5000,21.5000,22.2500
"Consolidated Edison",176.0000,0.0000,56.5000
"Cognizant Technology Solutions",253.8667,260.8667,116.5333
VF,316.0000,283.7500,106.0000
"Ameriprise Financial",383.4583,25.4167,27.6667
"Computer Sciences",137.0000,41.7917,21.0000
"L Brands",298.5000,312.7500,65.0000
"Jacobs Engineering Group",180.7647,229.7647,224.6471
"Principal Financial",288.8571,52.2857,41.2857
"Ross Stores",344.0000,36.6364,34.2727
"Bed Bath & Beyond",79.0000,75.0000,14.0000
CSX,274.4286,297.5714,186.0000
"Toys 'R' Us",217.3333,357.7500,113.0000
"Las Vegas Sands",116.0000,41.0000,28.0000
"Leucadia National",188.6479,245.3944,162.5493
"Dominion Resources",204.1000,189.7000,97.4000
"United States Steel",212.9077,224.7692,125.4462
"L-3 Communications",332.7273,28.0909,18.9091
"Edison International",756.6000,25.2000,423.4000
Entergy,328.5789,27.7719,39.2982
ADP,354.6333,60.5333,61.9833
"First Data",204.9091,243.9091,163.7273
BlackRock,395.4483,48.1379,25.9828
WestRock,97.6364,43.6364,48.4545
"Voya Financial",377.7143,26.1429,21.4286
Sherwin-Williams,91.5000,53.0000,41.0000
"Hilton Worldwide Holdings",133.4444,52.2963,46.0370
"R.R. Donnelley & Sons",369.2857,20.9286,72.3571
"Stanley Black & Decker",344.9091,43.9394,19.1515
"Xcel Energy",417.1667,157.0000,8.8333
"Murphy USA",288.3333,29.5833,168.0000
"CBRE Group",288.5000,284.0000,159.0000
"D.R. Horton",184.7600,244.4400,146.0800
"Estee Lauder",181.8000,233.2000,143.6000
Praxair,563.6667,27.0000,19.1667
Biogen,208.2000,230.0000,137.4000
"State Street Corp.",208.6552,235.1034,161.0000
"Unum Group",340.0000,78.3333,29.8889
"Reynolds American",348.0000,28.3913,27.3043
"Group 1 Automotive",396.5385,38.6923,11.5385
"Henry Schein",194.2500,291.0000,158.5000
"Hertz Global Holdings",314.4000,49.8000,30.8000
"Norfolk Southern",349.0000,82.4444,11.8889
"Reinsurance Group of America",403.2500,52.0000,20.2500
"Public Service Enterprise Group",180.9167,313.0000,357.8333
"BB&T Corp.",364.4800,219.3600,183.7600
"DTE Energy",394.8000,19.6000,22.6000
Assurant,117.0000,22.0000,60.0000
"Global Partners",350.5172,21.9655,52.7241
Huntsman,257.0000,103.5000,159.0000
"Becton Dickinson",193.0000,213.0000,127.8000
"Sempra Energy",207.7500,345.3750,147.5000
AutoZone,203.2500,239.6875,161.6875
"Navistar International",309.6000,21.3000,67.0000
"Precision Castparts",196.7778,249.3333,521.3333
"Discover Financial Services",208.1250,208.9375,118.3750
"Liberty Interactive",240.0000,47.5000,8.7500
"W.W. Grainger",166.5000,271.0000,164.0000
"Baxter International",402.7778,20.6667,43.7778
Stryker,267.5000,83.5000,37.0000
"Air Products & Chemicals",206.7500,171.5000,78.5000
"Western Refining",345.1500,99.3500,30.5500
"Universal Health Services",517.5000,7.0000,0.0000
"Owens & Minor",92.2000,56.9000,57.2000
"Charter Communications",326.1379,27.5690,62.7586
"Advance Auto Parts",274.0000,19.7500,27.7500
MasterCard,240.0000,234.3333,69.6667
"Applied Materials",74.0000,115.5000,38.5000
"Eastman Chemical",228.2000,158.2000,115.4000
"Sonic Automotive",283.2500,27.5000,22.0000
"Ally Financial",303.5000,299.5000,116.8750
"CST Brands",345.3673,32.9388,66.4082
eBay,361.7143,32.2286,79.6000
Lennar,517.0000,10.0000,2.0000
GameStop,306.2308,174.3077,15.4615
"Reliance Steel & Aluminum",363.5000,329.5000,100.0000
"Hormel Foods",188.0400,196.9200,140.9600
Celgene,215.1200,220.7600,140.0000
"Genworth Financial",332.0000,32.6667,28.6667
"PayPal Holdings",321.0250,25.6750,40.0250
"Priceline Group",349.0000,29.0000,21.0000
"MGM Resorts International",163.7500,266.7500,176.0000
Autoliv,223.3333,182.0000,117.0000
"Fidelity National Financial",404.0000,16.1250,1430.6250
"Republic Services",196.7200,219.5600,400.3800
Corning,123.8000,40.0000,82.6000
"Peter Kiewit Sons'",323.2500,318.5000,130.5000
Univar,277.2222,18.1111,40.4444
Mosaic,213.6818,243.3030,289.1667
"Core-Mark Holding",743.1607,35.4821,20.4643
"Thrivent Financial for Lutherans",274.3333,24.1429,33.1905
"Cameron International",403.2857,28.7500,22.3571
"HD Supply Holdings",307.6667,271.5833,82.6667
"Crown Holdings",284.6429,393.8571,122.5000
"EOG Resources",282.0645,523.2581,104.5161
Veritiv,89.2000,40.6000,49.0000
"Anadarko Petroleum",182.9600,183.1200,114.3600
"Laboratory Corp. of America",374.6667,26.5000,7.0833
"Pacific Life",335.6923,30.3077,2184.4615
"News Corp.",189.2000,218.3000,109.4000
Jarden,247.7209,249.6512,132.3256
"SunTrust Banks",201.5217,240.8261,184.7826
"Avis Budget Group",208.5574,227.9180,149.5902
Broadcom,187.6111,269.0556,150.5556
"American Family Insurance Group",376.2807,30.7895,70.9649
"Level 3 Communications",123.0000,0.0000,33.0000
Tenneco,75.0000,75.7500,60.7500
"United Natural Foods",301.2800,55.6000,31.7600
"Dean Foods",206.8571,214.4286,141.5714
"Campbell Soup",171.5000,264.6667,179.3333
"Mohawk Industries",485.0000,70.0000,10.0000
BorgWarner,185.2727,247.6364,119.4545
PVH,312.8000,27.0000,46.4000
Ball,304.0000,34.0000,26.0000
"O'Reilly Automotive",197.0000,190.0000,110.6667
"Eversource Energy",286.1000,446.1000,115.4000
"Franklin Resources",239.1622,221.0000,100.9459
Masco,129.3750,33.4375,43.3125
"Lithia Motors",311.8889,141.0833,44.7222
KKR,194.4909,229.9273,155.3455
Oneok,208.5000,25.5000,23.5000
"Newmont Mining",90.0000,56.6000,129.4000
PPL,221.0690,231.1034,127.3448
SpartanNash,78.0769,50.6923,43.8462
