Account_name,Total_spent,Level
"EOG Resources",382873.3,"greater than 200000"
Mosaic,345618.5900000001,"greater than 200000"
IBM,326819.48000000004,"greater than 200000"
"General Dynamics",300694.7899999999,"greater than 200000"
"Republic Services",293861.14000000013,"greater than 200000"
"Leucadia National",291047.25000000006,"greater than 200000"
"Arrow Electronics",281018.36,"greater than 200000"
Sysco,278575.63999999996,"greater than 200000"
Supervalu,275288.30000000005,"greater than 200000"
"Archer Daniels Midland",272672.83999999997,"greater than 200000"
"Western Digital",269155.33999999997,"greater than 200000"
"Pacific Life",255319.18000000002,"greater than 200000"
"DISH Network",253635.7500000001,"greater than 200000"
Fluor,251299.77,"greater than 200000"
"United States Steel",244695.99,"greater than 200000"
"Avis Budget Group",241711.24999999997,"greater than 200000"
Centene,238962.47000000003,"greater than 200000"
Aetna,237781.3,"greater than 200000"
"United Technologies",235051.07,"greater than 200000"
"Freddie Mac",234225.65,"greater than 200000"
"Core-Mark Holding",231856.97999999992,"greater than 200000"
KKR,217473.85000000003,"greater than 200000"
Disney,205886.96999999994,"greater than 200000"
"Wells Fargo",200174.66,"greater than 200000"
"Bristol-Myers Squibb",188457.45999999996,"Between 100000 and 200000"
"Goodyear Tire & Rubber",185463.76000000004,"Between 100000 and 200000"
Jarden,179761.43000000002,"Between 100000 and 200000"
Intel,167717.4,"Between 100000 and 200000"
CHS,167271.8,"Between 100000 and 200000"
"Best Buy",163887.39000000004,"Between 100000 and 200000"
ADP,163579.18,"Between 100000 and 200000"
Paccar,161294.61999999997,"Between 100000 and 200000"
Citigroup,160051.04000000007,"Between 100000 and 200000"
"Prudential Financial",157782.52,"Between 100000 and 200000"
"Guardian Life Ins. Co. of America",157523.23999999996,"Between 100000 and 200000"
"Travelers Cos.",156582.24,"Between 100000 and 200000"
"Ford Motor",154811.42999999996,"Between 100000 and 200000"
"Thermo Fisher Scientific",153705.1,"Between 100000 and 200000"
"American Family Insurance Group",153015.86999999997,"Between 100000 and 200000"
BlackRock,147599.56,"Between 100000 and 200000"
Pfizer,144865.83000000002,"Between 100000 and 200000"
"Emerson Electric",143471.26,"Between 100000 and 200000"
TJX,140046.68000000002,"Between 100000 and 200000"
"Sears Holdings",139015.09000000003,"Between 100000 and 200000"
"Land O'Lakes",138323.58999999997,"Between 100000 and 200000"
"Philip Morris International",137600.66999999998,"Between 100000 and 200000"
"Marathon Petroleum",137227.88,"Between 100000 and 200000"
"Charter Communications",135924.15,"Between 100000 and 200000"
AutoNation,135822.85000000003,"Between 100000 and 200000"
"Franklin Resources",135730.44000000003,"Between 100000 and 200000"
Ecolab,135517.95,"Between 100000 and 200000"
Synnex,134039.25,"Between 100000 and 200000"
FirstEnergy,132868.82,"Between 100000 and 200000"
"National Oilwell Varco",131318.63999999998,"Between 100000 and 200000"
"Phillips 66",131173.40999999997,"Between 100000 and 200000"
Monsanto,130964.10999999999,"Between 100000 and 200000"
"Cisco Systems",130917.00000000001,"Between 100000 and 200000"
Colgate-Palmolive,130893.51000000001,"Between 100000 and 200000"
"Walgreens Boots Alliance",130153.59000000001,"Between 100000 and 200000"
3M,127945.1,"Between 100000 and 200000"
Cigna,127671.94000000002,"Between 100000 and 200000"
"New York Life Insurance",126898.91000000002,"Between 100000 and 200000"
"Southwest Airlines",125968.03999999996,"Between 100000 and 200000"
Walmart,124014.87000000001,"Between 100000 and 200000"
"BB&T Corp.",123847.32,"Between 100000 and 200000"
Entergy,123503.17999999995,"Between 100000 and 200000"
"CST Brands",122957.11000000004,"Between 100000 and 200000"
Target,120523.91000000003,"Between 100000 and 200000"
FedEx,119965.08000000002,"Between 100000 and 200000"
"State Street Corp.",119173.59,"Between 100000 and 200000"
"United Continental Holdings",118879.76000000001,"Between 100000 and 200000"
"Duke Energy",118867.17000000001,"Between 100000 and 200000"
Aflac,117862.77,"Between 100000 and 200000"
"Altria Group",116165.15,"Between 100000 and 200000"
Verizon,115376.17000000001,"Between 100000 and 200000"
PPL,112176.02999999998,"Between 100000 and 200000"
"State Farm Insurance Cos.",111810.54999999999,"Between 100000 and 200000"
"Fidelity National Financial",110027.29000000001,"Between 100000 and 200000"
"Western Refining",108579.84,"Between 100000 and 200000"
"Lithia Motors",107142.63000000003,"Between 100000 and 200000"
"Occidental Petroleum",105115.44,"Between 100000 and 200000"
CDW,101553.15000000001,"Between 100000 and 200000"
"SunTrust Banks",99125.76000000001,"Under 100000"
"D.R. Horton",98474.43999999999,"Under 100000"
"Abbott Laboratories",96819.92000000001,"Under 100000"
Allstate,96779.18000000001,"Under 100000"
Celgene,96593.53,"Under 100000"
"Farmers Insurance Exchange",96376.93999999999,"Under 100000"
Raytheon,94725.92000000001,"Under 100000"
"J.P. Morgan Chase",94684.25,"Under 100000"
eBay,94244.44000000003,"Under 100000"
"Bank of America Corp.",93217.79999999999,"Under 100000"
