name,COUNT(*)
"NextEra Energy",2
"Farmers Insurance Exchange",2
"Duke Energy",2
"Berkshire Hathaway",2
McKesson,2
"UnitedHealth Group",2
"Hertz Global Holdings",2
CBS,2
"Thermo Fisher Scientific",2
PVH,2
"Time Warner Cable",2
AmerisourceBergen,2
Verizon,2
Chevron,2
"Henry Schein",2
Visa,2
"Texas Instruments",2
Staples,2
"Tenet Healthcare",2
HP,2
"Cardinal Health",2
"Express Scripts Holding",2
"Global Partners",2
"Priceline Group",2
"Laboratory Corp. of America",2
"U.S. Bancorp",2
Synnex,2
"Home Depot",2
Citigroup,2
"Phillips 66",2
"Estee Lauder",2
"Office Depot",2
AECOM,2
"PNC Financial Services Group",2
"Jacobs Engineering Group",2
Alphabet,2
Comcast,2
Target,2
"D.R. Horton",2
"Marriott International",2
Fluor,2
"Health Net",2
"Newmont Mining",2
PepsiCo,2
"United Technologies",2
Aetna,2
Huntsman,2
Lennar,2
"Anadarko Petroleum",2
"J.C. Penney",2
"Tech Data",2
Humana,2
Disney,2
"Cisco Systems",2
Sherwin-Williams,2
"MGM Resorts International",2
CDW,2
Ball,2
"Rite Aid",2
"Lockheed Martin",2
"New York Life Insurance",2
Coca-Cola,2
"Voya Financial",2
FirstEnergy,2
"American Family Insurance Group",2
Centene,2
Oneok,2
"Delta Air Lines",2
Nationwide,2
"Johnson Controls",2
"Liberty Interactive",2
"DISH Network",2
Cummins,2
AbbVie,2
"Level 3 Communications",2
"Massachusetts Mutual Life Insurance",2
Oracle,2
"Morgan Stanley",2
"L-3 Communications",2
"Illinois Tool Works",2
Paccar,2
"Dollar General",2
"Bank of New York Mellon Corp.",2
"INTL FCStone",2
CHS,2
"American Express",2
"United States Steel",2
Mosaic,2
eBay,2
"Core-Mark Holding",2
"Principal Financial",2
Nike,2
"World Fuel Services",2
3M,2
"W.W. Grainger",2
"Dollar Tree",2
"Advance Auto Parts",2
"Charter Communications",2
SpartanNash,2
"Time Warner",2
