name,COUNT(*)
Walmart,28
"Ford Motor",37
AT&T,43
Verizon,27
"Walgreens Boots Alliance",55
"J.P. Morgan Chase",43
"Bank of America Corp.",24
"Wells Fargo",49
Citigroup,58
"Phillips 66",35
IBM,60
Anthem,21
Target,30
"Archer Daniels Midland",66
"Marathon Petroleum",62
"Freddie Mac",62
"United Technologies",58
Aetna,51
"Prudential Financial",40
Intel,42
Disney,57
"Cisco Systems",61
Pfizer,30
Sysco,68
FedEx,57
"New York Life Insurance",56
Coca-Cola,24
"Tyson Foods",42
"Best Buy",58
Merck,27
"Honeywell International",32
Cigna,40
"United Continental Holdings",63
Allstate,25
CHS,23
"American Express",23
"Gilead Sciences",27
"General Dynamics",66
TJX,50
3M,28
Exelon,23
"Twenty-First Century Fox",27
"Travelers Cos.",29
"Philip Morris International",65
Qualcomm,24
"Sears Holdings",30
"Duke Energy",31
"Arrow Electronics",67
Raytheon,22
Centene,61
"Emerson Electric",38
Aflac,37
AutoNation,56
Progressive,31
"Abbott Laboratories",30
"Southwest Airlines",51
Paccar,46
"Altria Group",51
Fluor,65
"Jabil Circuit",22
Supervalu,68
"Thermo Fisher Scientific",59
"Bristol-Myers Squibb",43
"Goodyear Tire & Rubber",41
Nucor,29
"PNC Financial Services Group",23
Colgate-Palmolive,60
"Performance Food Group",21
"DISH Network",60
FirstEnergy,61
Monsanto,57
"National Oilwell Varco",27
"Western Digital",65
"Kinder Morgan",24
Ecolab,53
Kellogg,35
Synnex,31
"Land O'Lakes",58
"Texas Instruments",23
CDW,27
"Occidental Petroleum",24
"Guardian Life Ins. Co. of America",39
"Farmers Insurance Exchange",46
"Ameriprise Financial",24
"Computer Sciences",24
"Leucadia National",71
"United States Steel",65
Entergy,57
ADP,60
BlackRock,58
"Hilton Worldwide Holdings",27
"Stanley Black & Decker",33
"D.R. Horton",25
"State Street Corp.",29
"Reynolds American",23
"BB&T Corp.",25
"Global Partners",29
"Western Refining",40
"Charter Communications",58
"CST Brands",49
eBay,35
"Hormel Foods",25
Celgene,25
"PayPal Holdings",40
"Republic Services",50
Mosaic,66
"Core-Mark Holding",56
"Thrivent Financial for Lutherans",21
"Cameron International",28
"EOG Resources",62
"Anadarko Petroleum",25
Jarden,43
"SunTrust Banks",23
"Avis Budget Group",61
"American Family Insurance Group",57
"United Natural Foods",25
"Franklin Resources",37
"Lithia Motors",36
KKR,55
PPL,29
